지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),일조(hr),일사(MJ/m2),전운량(10분위),운형(운형약어),지면온도(°C)
119,수원,2018-01-01 01:00,-2.6,,.9,270,46,,,,,-1.1
119,수원,2018-01-01 02:00,-3,,1.1,320,48,,,,,-1.3
119,수원,2018-01-01 03:00,-4.2,,.4,0,58,,,0,,-1.5
119,수원,2018-01-01 04:00,-5.3,,0,0,65,,,0,,-1.8
119,수원,2018-01-01 05:00,-5.5,,.6,270,69,,,0,,-2.1
119,수원,2018-01-01 06:00,-6,,.2,0,74,,,0,,-2.4
119,수원,2018-01-01 07:00,-6.6,,0,0,76,,,0,,-2.6
119,수원,2018-01-01 08:00,-6.8,,0,0,78,0,0,0,,-2.8
119,수원,2018-01-01 09:00,-3.5,,.5,160,71,1,.22,0,,-2.3
119,수원,2018-01-01 10:00,-1.8,,1.3,180,54,1,.69,0,,-1.5
119,수원,2018-01-01 11:00,.4,,1.4,200,48,1,1.03,3,Ci,-.2
119,수원,2018-01-01 12:00,3.2,,1.9,290,28,1,1.31,0,,0
119,수원,2018-01-01 13:00,3.7,,2.6,270,28,1,1.34,7,ScCi,0
119,수원,2018-01-01 14:00,3.1,,2.5,250,31,.8,1.02,7,ScAc,0
119,수원,2018-01-01 15:00,3.3,,3,250,33,.8,.91,7,Sc,.1
119,수원,2018-01-01 16:00,2.7,,2.8,270,36,1,.76,5,ScCi,-.1
119,수원,2018-01-01 17:00,1.7,,2.1,270,37,.7,.27,0,,-.1
119,수원,2018-01-01 18:00,.7,,1.5,270,44,0,.01,0,,-.2
119,수원,2018-01-01 19:00,-1.5,,.5,320,53,,,,,-.4
119,수원,2018-01-01 20:00,-2.3,,0,0,61,,,,,-.8
119,수원,2018-01-01 21:00,-2.8,,0,0,66,,,0,,-1.3
119,수원,2018-01-01 22:00,-3.4,,0,0,71,,,,,-1.7
119,수원,2018-01-01 23:00,-3.9,,0,0,74,,,,,-2
119,수원,2018-01-02 00:00,-4.3,,.2,0,78,,,0,,-2.2
119,수원,2018-01-02 01:00,-4.2,,.6,180,77,,,,,-2.4
119,수원,2018-01-02 02:00,-4.4,,.4,0,83,,,,,-2.6
119,수원,2018-01-02 03:00,-5.1,,.4,0,89,,,0,,-2.7
119,수원,2018-01-02 04:00,-5.4,,0,0,90,,,0,,-2.8
119,수원,2018-01-02 05:00,-5.3,,.5,180,92,,,0,,-2.9
119,수원,2018-01-02 06:00,-5.3,,.2,0,94,,,0,,-2.9
119,수원,2018-01-02 07:00,-5,,.8,270,95,,,0,,-2.9
119,수원,2018-01-02 08:00,-4.8,,.5,360,95,0,0,2,Sc,-2.9
119,수원,2018-01-02 09:00,-2.8,,.2,0,91,0,.08,9,Sc,-1.5
119,수원,2018-01-02 10:00,-.2,,1.4,270,71,.5,.42,0,,-.8
119,수원,2018-01-02 11:00,1.7,,1.6,290,44,1,.79,0,,-.2
119,수원,2018-01-02 12:00,1.9,,3,340,25,1,1,0,,-.2
119,수원,2018-01-02 13:00,3.2,,2.9,290,26,1,1.06,7,Ci,-.1
119,수원,2018-01-02 14:00,2.4,,2.9,290,26,.3,.82,8,Ci,0
119,수원,2018-01-02 15:00,3,,2.5,290,24,.9,.88,6,Ci,0
119,수원,2018-01-02 16:00,1.6,,2.5,290,26,1,.58,0,,-.1
119,수원,2018-01-02 17:00,.7,,2,290,31,.3,.22,0,,-.2
119,수원,2018-01-02 18:00,-.5,,2.3,270,35,0,0,1,Ci,-.4
119,수원,2018-01-02 19:00,-1,,1.2,290,39,,,,,-.9
119,수원,2018-01-02 20:00,-1,,2.2,320,37,,,,,-1.2
119,수원,2018-01-02 21:00,-1.4,,2.2,290,33,,,8,Ci,-1.5
119,수원,2018-01-02 22:00,-1.8,,2.4,290,33,,,,,-1.8
119,수원,2018-01-02 23:00,-2.7,,3.7,290,33,,,,,-2.1
119,수원,2018-01-03 00:00,-3.5,,3.3,320,40,,,9,Cs,-2.2
119,수원,2018-01-03 01:00,-4.1,,2.6,340,42,,,,,-2.8
119,수원,2018-01-03 02:00,-4.6,,2.9,340,42,,,,,-3.2
119,수원,2018-01-03 03:00,-5.1,,2.3,320,43,,,4,Ci,-3.5
119,수원,2018-01-03 04:00,-5.4,,2.3,290,45,,,7,Cs,-3.4
119,수원,2018-01-03 05:00,-5.8,,1.6,320,47,,,2,Ci,-3.6
119,수원,2018-01-03 06:00,-6,,1.7,290,48,,,1,Ci,-3.9
119,수원,2018-01-03 07:00,-6.4,,1.7,320,50,,,1,Ci,-4
119,수원,2018-01-03 08:00,-6.5,,1.4,290,51,0,0,1,Ci,-4.1
119,수원,2018-01-03 09:00,-5.3,,1.4,340,45,1,.2,1,Ci,-3.6
119,수원,2018-01-03 10:00,-2.9,,2.8,320,38,1,.66,0,,-2.7
119,수원,2018-01-03 11:00,-1.3,,2.5,320,33,1,1.2,3,Ci,-.3
119,수원,2018-01-03 12:00,-.4,,1.6,320,32,1,1.44,2,Ci,-.1
119,수원,2018-01-03 13:00,.6,,2.6,270,32,1,1.52,2,Ci,-.1
119,수원,2018-01-03 14:00,1.1,,2.7,270,31,1,1.43,0,,.3
119,수원,2018-01-03 15:00,.8,,2.6,290,32,1,1.19,2,Ci,-.1
119,수원,2018-01-03 16:00,-1.1,,3.1,250,43,1,.78,2,Ci,-.4
119,수원,2018-01-03 17:00,-2,,2.5,250,47,.9,.24,2,Ci,-1
119,수원,2018-01-03 18:00,-3.1,,2.5,250,51,.1,.01,0,,-1.7
119,수원,2018-01-03 19:00,-3.4,,1.4,290,51,,,,,-2.2
119,수원,2018-01-03 20:00,-3.5,,1.7,290,51,,,,,-2.6
119,수원,2018-01-03 21:00,-3.4,,1.9,340,50,,,7,Ci,-2.7
119,수원,2018-01-03 22:00,-3.7,,2.4,320,53,,,,,-2.8
119,수원,2018-01-03 23:00,-4.7,,2.6,320,50,,,,,-3.1
119,수원,2018-01-04 00:00,-5.4,,2.5,290,54,,,1,Ci,-3.4
119,수원,2018-01-04 01:00,-6.1,,2.2,290,57,,,,,-3.8
119,수원,2018-01-04 02:00,-6.5,,2.1,290,59,,,,,-4
119,수원,2018-01-04 03:00,-6.7,,1.3,290,58,,,2,Ci,-4
119,수원,2018-01-04 04:00,-6.9,,.9,320,58,,,3,Ci,-3.9
119,수원,2018-01-04 05:00,-7.2,,1.1,290,59,,,5,Ci,-4.1
119,수원,2018-01-04 06:00,-7.1,,1.6,320,52,,,1,Ci,-4.3
119,수원,2018-01-04 07:00,-7,,1.9,320,51,,,0,,-4.4
119,수원,2018-01-04 08:00,-7.7,,.8,290,56,0,0,5,Ci,-4.4
119,수원,2018-01-04 09:00,-5.7,,1,320,49,.6,.21,6,Ci,-3.6
119,수원,2018-01-04 10:00,-4.4,,.8,250,47,1,.62,7,Ci,-2.5
119,수원,2018-01-04 11:00,-3.3,,1.2,230,39,1,.94,6,Ci,-.5
119,수원,2018-01-04 12:00,-2.2,,1,70,38,1,1.25,6,Ci,-.2
119,수원,2018-01-04 13:00,-1.5,,1,140,35,1,1.37,6,Ci,-.2
119,수원,2018-01-04 14:00,-1.4,,1.1,90,36,.9,.99,7,Ci,-.1
119,수원,2018-01-04 15:00,-.8,,1.1,180,36,0,.7,8,Ci,-.1
119,수원,2018-01-04 16:00,-1,,.7,230,35,0,.34,10,AsCs,-.2
119,수원,2018-01-04 17:00,-1.6,,1.8,290,41,0,.13,10,As,-.2
119,수원,2018-01-04 18:00,-2.2,,1,270,48,0,0,10,As,-.5
119,수원,2018-01-04 19:00,-2.4,,.9,270,49,,,,,-.8
119,수원,2018-01-04 20:00,-2.5,,.4,0,50,,,,,-1.1
119,수원,2018-01-04 21:00,-2.8,,1.2,200,54,,,8,Ac,-1.4
119,수원,2018-01-04 22:00,-3.2,,.5,320,52,,,,,-1.9
119,수원,2018-01-04 23:00,-3.5,,.5,340,56,,,,,-2.1
119,수원,2018-01-05 00:00,-3.7,,.6,270,54,,,7,,-2.2
119,수원,2018-01-05 01:00,-3.7,,.9,270,56,,,,,-2.3
119,수원,2018-01-05 02:00,-4.9,,.8,270,63,,,,,-3
119,수원,2018-01-05 03:00,-5.6,,.8,270,65,,,0,,-3.5
119,수원,2018-01-05 04:00,-5.4,,.7,270,65,,,7,Ci,-3.5
119,수원,2018-01-05 05:00,-5.5,,.3,0,70,,,9,Ci,-3.3
119,수원,2018-01-05 06:00,-6.1,,.4,0,76,,,7,Ci,-3.3
119,수원,2018-01-05 07:00,-5.2,,1.1,290,65,,,6,Ci,-3.4
119,수원,2018-01-05 08:00,-6,,.4,0,72,0,0,6,AcCi,-3.4
119,수원,2018-01-05 09:00,-4.4,,.6,200,64,.2,.17,7,ScCi,-2.8
119,수원,2018-01-05 10:00,-1.3,,.7,160,52,.7,.56,5,Ci,-1.9
119,수원,2018-01-05 11:00,.1,,3.3,250,53,1,1.04,4,Ci,-.3
119,수원,2018-01-05 12:00,1.2,,2.6,250,51,1,1.32,3,Ci,.2
119,수원,2018-01-05 13:00,1.8,,3.6,270,45,1,1.35,4,ScCi,.3
119,수원,2018-01-05 14:00,1.6,,3.9,270,41,1,1.47,0,,.7
119,수원,2018-01-05 15:00,.4,,4.3,270,50,1,1.2,0,,-.1
119,수원,2018-01-05 16:00,-1.4,,3.9,270,64,.6,.51,5,Sc,-.2
119,수원,2018-01-05 17:00,-1.6,,2.8,270,66,.6,.22,4,Sc,-.5
119,수원,2018-01-05 18:00,-2.2,,1.4,290,68,0,.01,3,Sc,-1.1
119,수원,2018-01-05 19:00,-2.6,,1,270,70,,,,,-1.7
119,수원,2018-01-05 20:00,-3.3,,1.1,250,75,,,,,-2.3
119,수원,2018-01-05 21:00,-4.1,,.5,270,79,,,0,,-2.7
119,수원,2018-01-05 22:00,-4.6,,.8,230,88,,,,,-3.1
119,수원,2018-01-05 23:00,-4.8,,.7,360,91,,,,,-3.3
119,수원,2018-01-06 00:00,-4.2,,.9,290,81,,,0,,-3.6
119,수원,2018-01-06 01:00,-5.4,,.5,270,81,,,,,-4
119,수원,2018-01-06 02:00,-5.5,,1.1,290,74,,,,,-4.3
119,수원,2018-01-06 03:00,-5,,1.4,320,66,,,0,,-4.5
119,수원,2018-01-06 04:00,-5.4,,1.4,320,70,,,0,,-4.7
119,수원,2018-01-06 05:00,-6.8,,.8,270,75,,,0,,-4.9
119,수원,2018-01-06 06:00,-7.5,,.9,160,83,,,0,,-5.1
119,수원,2018-01-06 07:00,-8.1,,0,0,88,,,0,,-5.2
119,수원,2018-01-06 08:00,-7.8,,.2,0,92,0,0,0,,-5.3
119,수원,2018-01-06 09:00,-5,,.6,180,76,1,.26,0,,-4.6
119,수원,2018-01-06 10:00,-2.2,,.9,200,58,1,.71,0,,-3.1
119,수원,2018-01-06 11:00,.3,,1.7,290,43,1,1.11,0,,-.5
119,수원,2018-01-06 12:00,2.1,,2.4,250,40,1,1.34,0,,-.1
119,수원,2018-01-06 13:00,2.5,,2.5,250,37,1,1.47,0,,-.1
119,수원,2018-01-06 14:00,3.4,,1.8,270,31,1,1.44,0,,.8
119,수원,2018-01-06 15:00,3.4,,2.7,250,34,1,1.2,0,,-.1
119,수원,2018-01-06 16:00,1.6,,2.1,270,37,1,.8,0,,-.2
119,수원,2018-01-06 17:00,.6,,3.2,270,44,1,.31,0,,-.6
119,수원,2018-01-06 18:00,-1.2,,1.7,270,51,.3,.03,0,,-1.2
119,수원,2018-01-06 19:00,-1.7,,1.2,270,54,,,,,-1.8
119,수원,2018-01-06 20:00,-2.3,,1.1,290,58,,,,,-2.4
119,수원,2018-01-06 21:00,-3.6,,.2,0,66,,,0,,-2.9
119,수원,2018-01-06 22:00,-4.2,,.3,0,70,,,,,-3.2
119,수원,2018-01-06 23:00,-4.4,,.6,50,78,,,,,-3.3
119,수원,2018-01-07 00:00,-5,,.7,140,74,,,0,,-3.7
119,수원,2018-01-07 01:00,-5.6,,.3,0,81,,,,,-4
119,수원,2018-01-07 02:00,-6.2,,.5,250,79,,,,,-4.4
119,수원,2018-01-07 03:00,-6.8,,.3,0,87,,,0,,-4.6
119,수원,2018-01-07 04:00,-7.1,,0,0,89,,,0,,-4.9
119,수원,2018-01-07 05:00,-6.9,,.6,270,89,,,0,,-5
119,수원,2018-01-07 06:00,-7,,.6,110,92,,,4,Cc,-4.9
119,수원,2018-01-07 07:00,-6.1,,.9,110,82,,,4,Ci,-4.9
119,수원,2018-01-07 08:00,-6.3,,.9,70,84,0,0,5,AcCi,-4.9
119,수원,2018-01-07 09:00,-2.3,,1.5,90,54,.7,.21,5,Ci,-3.8
119,수원,2018-01-07 10:00,-1.9,,.8,110,53,.3,.44,9,Ac,-1.9
119,수원,2018-01-07 11:00,.4,,1.1,90,48,.9,.85,6,AcCi,-.4
119,수원,2018-01-07 12:00,1.5,,1.5,160,46,.9,1.09,9,AcCi,0
119,수원,2018-01-07 13:00,1.8,,.6,50,41,0,.56,9,AcCi,.1
119,수원,2018-01-07 14:00,1.9,,.3,0,39,0,.63,10,ScAs,.3
119,수원,2018-01-07 15:00,2.8,,1.2,110,39,0,.54,9,ScAs,.3
119,수원,2018-01-07 16:00,2.7,,1.4,180,40,0,.35,10,As,0
119,수원,2018-01-07 17:00,2.4,,.6,160,39,0,.11,10,As,-.1
119,수원,2018-01-07 18:00,2.2,,2.1,140,42,0,.01,10,As,-.1
119,수원,2018-01-07 19:00,1.8,,.2,0,44,,,,,-.2
119,수원,2018-01-07 20:00,1.4,,.2,0,48,,,,,-.2
119,수원,2018-01-07 21:00,1.3,,.4,0,47,,,10,As,-.2
119,수원,2018-01-07 22:00,1.1,,.5,360,48,,,,,-.2
119,수원,2018-01-07 23:00,1.3,,1.1,270,49,,,,,-.3
119,수원,2018-01-08 00:00,1.1,,.3,0,49,,,10,ScAs,-.2
119,수원,2018-01-08 01:00,.9,,0,0,57,,,,,-.3
119,수원,2018-01-08 02:00,1.1,,.3,0,52,,,,,-.3
119,수원,2018-01-08 03:00,1.3,,.5,290,53,,,10,ScAs,-.3
119,수원,2018-01-08 04:00,1.2,,1.3,270,53,,,10,ScAs,-.3
119,수원,2018-01-08 05:00,1.2,,.4,0,51,,,10,ScNs,-.4
119,수원,2018-01-08 06:00,1.1,0,1.7,290,53,,,10,ScNs,-.4
119,수원,2018-01-08 07:00,.7,,.5,160,57,,,10,ScAs,-.5
119,수원,2018-01-08 08:00,.6,,1,200,59,0,0,9,ScAs,-.5
119,수원,2018-01-08 09:00,1,0,1.2,200,58,0,.06,10,ScAs,-.4
119,수원,2018-01-08 10:00,2.2,,1.1,250,52,0,.28,8,ScAs,-.2
119,수원,2018-01-08 11:00,2.3,,1.1,200,51,.2,.56,10,ScAs,0
119,수원,2018-01-08 12:00,3.4,,1.6,290,45,.1,.57,10,ScAs,.5
119,수원,2018-01-08 13:00,3.5,,2.4,270,45,0,.4,10,ScAs,.6
119,수원,2018-01-08 14:00,3.3,,2.2,250,44,.1,.46,10,As,.3
119,수원,2018-01-08 15:00,3.7,,1.8,230,45,0,.45,9,Ac,.5
119,수원,2018-01-08 16:00,3.3,,2.1,270,47,0,.25,10,As,0
119,수원,2018-01-08 17:00,2.3,,2.6,250,54,0,.04,10,ScAs,-.1
119,수원,2018-01-08 18:00,.5,.3,1.2,250,93,0,0,10,StNs,-.1
119,수원,2018-01-08 19:00,.4,,1.7,250,100,,,10,StNs,-.2
119,수원,2018-01-08 20:00,1.3,,4,270,98,,,10,StNs,-.1
119,수원,2018-01-08 21:00,.9,1.7,5.6,290,88,,,10,ScAs,-.1
119,수원,2018-01-08 22:00,.6,,3.4,290,80,,,9,Sc,-.2
119,수원,2018-01-08 23:00,.5,,5.1,290,62,,,,,-.1
119,수원,2018-01-09 00:00,-1.1,0,4.2,290,74,,,9,CuSc,-.2
119,수원,2018-01-09 01:00,-2.1,,2.7,270,95,,,8,CuSc,-.2
119,수원,2018-01-09 02:00,-2.2,,3.9,320,72,,,6,Sc,-.2
119,수원,2018-01-09 03:00,-3.1,.6,2.5,290,68,,,7,Sc,-.2
119,수원,2018-01-09 04:00,-3.1,,3.5,320,63,,,5,Sc,-.3
119,수원,2018-01-09 05:00,-4.2,,3.3,320,62,,,0,,-.5
