지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),일조(hr),일사(MJ/m2),전운량(10분위),운형(운형약어),지면온도(°C)
119,수원,2020-01-01 01:00,-6.3,,2.4,160,74,,,9,Sc,-3.8
119,수원,2020-01-01 02:00,-6.2,,1.6,140,70,,,6,Sc,-4.2
119,수원,2020-01-01 03:00,-5.8,0,1.6,160,65,,,7,Sc,-4.1
119,수원,2020-01-01 04:00,-5.4,,1.3,160,64,,,9,Sc,-3.5
119,수원,2020-01-01 05:00,-5.1,,1,160,67,,,9,Sc,-3.3
119,수원,2020-01-01 06:00,-4.9,0,2,140,68,,,9,Sc,-3.1
119,수원,2020-01-01 07:00,-4.7,,1.9,140,70,,,9,Sc,-2.9
119,수원,2020-01-01 08:00,-4.5,,1.6,140,75,0,0,9,Sc,-2.8
119,수원,2020-01-01 09:00,-3.9,,1.2,160,79,0,.02,9,Sc,-2
119,수원,2020-01-01 10:00,-3.5,,1.5,160,82,0,.18,9,Sc,-1.2
119,수원,2020-01-01 11:00,-3,,1.5,140,83,0,.24,9,Sc,-.7
119,수원,2020-01-01 12:00,-2.5,,1.4,70,79,0,.38,9,Sc,-.2
119,수원,2020-01-01 13:00,-1.5,,1.7,140,80,0,.73,9,Sc,.6
119,수원,2020-01-01 14:00,-.5,,1.1,140,79,0,.75,9,Sc,.7
119,수원,2020-01-01 15:00,0,,1.2,160,79,0,.52,9,Sc,.2
119,수원,2020-01-01 16:00,.2,,1.2,160,80,0,.34,8,Sc,0
119,수원,2020-01-01 17:00,.1,,.7,180,85,0,.11,9,Sc,-.3
119,수원,2020-01-01 18:00,0,,1.2,160,87,0,0,9,Sc,-.2
119,수원,2020-01-01 19:00,-.1,,1,160,89,,,0,,-.3
119,수원,2020-01-01 20:00,-.3,,.7,160,90,,,0,,-.2
119,수원,2020-01-01 21:00,0,,.2,0,87,,,9,Sc,-.2
119,수원,2020-01-01 22:00,-.1,,.4,0,89,,,10,,-.2
119,수원,2020-01-01 23:00,0,,.3,0,90,,,9,,-.3
119,수원,2020-01-02 00:00,-.2,,.7,140,90,,,9,Sc,-.4
119,수원,2020-01-02 01:00,-.2,,.6,110,87,,,9,,-.5
119,수원,2020-01-02 02:00,0,,.6,90,83,,,9,,-.5
119,수원,2020-01-02 03:00,0,,.6,160,81,,,9,Sc,-.6
119,수원,2020-01-02 04:00,-.3,,.1,0,84,,,9,Sc,-.6
119,수원,2020-01-02 05:00,-.3,,.4,0,84,,,9,Sc,-.6
119,수원,2020-01-02 06:00,.1,,.3,0,82,,,9,Sc,-.6
119,수원,2020-01-02 07:00,.3,,.9,110,82,,,9,Sc,-.7
119,수원,2020-01-02 08:00,.1,,.3,0,83,0,0,9,Sc,-.7
119,수원,2020-01-02 09:00,.8,,.6,110,81,0,.06,9,Sc,-.4
119,수원,2020-01-02 10:00,1.6,,.9,160,78,0,.26,9,Sc,-.2
119,수원,2020-01-02 11:00,2.1,,1.2,160,77,0,.46,9,Sc,.1
119,수원,2020-01-02 12:00,2.4,,1.4,140,77,0,.42,9,Sc,.6
119,수원,2020-01-02 13:00,2.4,,1.3,160,78,0,.28,9,Sc,.4
119,수원,2020-01-02 14:00,2.6,,.8,160,76,0,.24,9,Sc,.2
119,수원,2020-01-02 15:00,3,,.6,270,77,0,.15,9,Sc,.4
119,수원,2020-01-02 16:00,3.2,,1.1,250,80,0,.19,9,Sc,.5
119,수원,2020-01-02 17:00,2.8,,.5,230,82,0,.08,9,Sc,0
119,수원,2020-01-02 18:00,2.2,,.8,230,84,0,0,8,Sc,-.2
119,수원,2020-01-02 19:00,1,,.6,250,88,,,0,,-.3
119,수원,2020-01-02 20:00,.8,,.5,270,90,,,0,,-.2
119,수원,2020-01-02 21:00,.8,,.1,0,92,,,9,Sc,-.2
119,수원,2020-01-02 22:00,1.5,,.8,340,88,,,0,,-.3
119,수원,2020-01-02 23:00,.8,,.4,0,91,,,0,,-.5
119,수원,2020-01-03 00:00,1.1,,1.9,270,92,,,4,,-.5
119,수원,2020-01-03 01:00,.5,,2.1,320,85,,,0,,-.9
119,수원,2020-01-03 02:00,-.4,,1.4,320,86,,,0,,-1.3
119,수원,2020-01-03 03:00,-1,,1.1,290,88,,,4,Ci,-1.5
119,수원,2020-01-03 04:00,-1.6,,.7,320,90,,,2,Ci,-1.7
119,수원,2020-01-03 05:00,-2.3,,.6,290,92,,,1,Ci,-1.9
119,수원,2020-01-03 06:00,-3.5,,.3,0,96,,,0,,-2.2
119,수원,2020-01-03 07:00,-3,,.8,270,99,,,0,,-2.4
